1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1,0,0,0,0,0,0,1,1,0,2,2,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,16,2,0,3,0,0,1,1,20163.5,0
0,1,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,19847,3,1,2,0,1,2,1,8444.25,0
0,2,0,0,0,0,1,1,0,0,0,0,3,3,2,1,1,1,1,0,2,3,0,2,1,2,0,0,4,2,0,0,0,0,0,0,1,4,29,56315,4,1,4,0,0,1,1,0,0
0,2,0,0,0,1,0,1,0,0,1,0,2,4,1,1,0,1,1,0,1,1,0,3,1,1,0,0,2,2,0,2,0,0,0,0,1,4,34,64547,4,1,4,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,74,12628,2,0,1,0,1,2,0.957983193,5133.5,0
0,1,0,0,0,0,0,0,0,0,1,0,5,1,1,1,1,1,1,0,0,0,1,3,0,2,0,0,1,0,0,0,1,0,0,0,0,4,27,6873,4,0,1,1,3,4,0.716666667,6282.75,1
0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,20329,3,1,1,0,1,2,1,9236,0
0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,1,0,2,4,2,0,2,0,1,0,0,0,0,0,0,0,4,52,38904,4,0,1,0,0,1,0.495412844,7234,0
0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,3,2,0,1,1,1,0,0,0,0,0,0,0,4,125,14380,4,0,1,0,0,1,0.78030303,4549.25,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,3,2,0,1,0,1,0,0,0,0,0,0,0,4,48,4384,4,0,1,0,0,1,0.93220339,1144,0
